x,y,z,label,session_id
-4.822957815932746,-5.199905825794503,-2.5562023755534122,0,Coffee_000
-5.354504724339877,-5.40068790031252,-2.5541940054052024,0,Coffee_000
-5.204378392213569,-5.208277273365105,-2.599179048378237,0,Coffee_000
-5.190134789715908,-5.176281446481435,-2.7278244533747045,0,Coffee_000
-4.996609726417979,-5.334769488463898,-2.8030630027646604,0,Coffee_000
-4.947577317515891,-5.682000725823172,-2.7263311244071864,0,Coffee_000
-4.944589351325659,-5.328539320225786,-2.818213669820739,0,Coffee_000
-4.576774350332727,-5.02824243575757,-3.0271640897161918,0,Coffee_000
-4.526022320912666,-5.4925426741412835,-2.7724936912227127,0,Coffee_000
-5.4888683010591315,-5.29841336240404,-2.6732579056398653,0,Coffee_000
-4.696688209787602,-5.39022994413857,-2.8113363522814363,0,Coffee_000
-4.878839328106721,-5.047245317793345,-2.748563930439779,0,Coffee_000
-4.82565533669344,-5.56367581445053,-2.739196246962152,0,Coffee_000
-5.122468835426356,-5.110070164059852,-2.509049574412541,0,Coffee_000
-4.350433871725436,-5.496762973504987,-2.7630254156432144,0,Coffee_000
-4.697187638839471,-5.581436282738361,-2.5021917332476873,0,Coffee_000
-4.571189948634053,-5.385655421200595,-3.1091832010463762,0,Coffee_000
-4.524945275100607,-5.3330568194682195,-2.4968008954478633,0,Coffee_000
-4.390326318121032,-4.946667942500178,-2.5010854967356937,0,Coffee_000
-4.64116583984737,-5.350872575733285,-2.5571236365233605,0,Coffee_000
-4.5447875630394945,-5.388969982582106,-2.9910639790156397,0,Coffee_000
-4.483202962561835,-5.045110685957902,-2.5333074215868887,0,Coffee_000
-4.310628921991221,-5.301062676352924,-2.69057301332195,0,Coffee_000
-4.481813797819343,-5.619895860421601,-3.059421603630097,0,Coffee_000
-4.425189675198902,-5.127654806455322,-2.482312065720383,0,Coffee_000
-4.574464974658015,-5.659690065307136,-2.4574830650109685,0,Coffee_000
-4.552275072399293,-5.64555092062421,-2.9569093880631088,0,Coffee_000
-4.091138591256111,-5.704136814316266,-2.642096874752562,0,Coffee_000
-3.9039991596277908,-5.735147225422546,-2.457353385131869,0,Coffee_000
-4.362316520070331,-5.427181672268998,-2.4784050698606563,0,Coffee_000
-4.147650749813054,-5.584647100420735,-2.534863143942778,0,Coffee_000
-4.511312353430772,-6.399715727767099,-3.0547597016622903,0,Coffee_000
-4.286985993808814,-5.607544052436875,-2.5456968551822476,0,Coffee_000
-4.268334462731374,-5.680561836956933,-2.6853579738489404,0,Coffee_000
-3.7477470853995842,-5.338781098139185,-2.500836069817612,0,Coffee_000
-4.020454679135481,-5.714001426432251,-2.6094215408060113,0,Coffee_000
-4.422201093932095,-4.949864748138538,-2.648518357734097,0,Coffee_000
-4.5913240488311775,-5.24726366399741,-2.5471507236731035,0,Coffee_000
-4.280865860565443,-5.7060102450073,-2.666883838229716,0,Coffee_000
-3.9501334316883994,-5.333482411082382,-2.6426098070418913,0,Coffee_000
-3.885942219356306,-5.5022228846332,-2.7201845388162145,0,Coffee_000
-3.754488094312303,-5.588076182698833,-2.8757068291760586,0,Coffee_000
-4.374341872620477,-5.458972598126217,-2.5477742806681816,0,Coffee_000
-3.748611034600741,-5.6595841454328495,-2.7519763982772165,0,Coffee_000
-3.8581767746832782,-5.6267503463398665,-2.6593733394047496,0,Coffee_000
-3.7213780927181035,-5.495003182453685,-2.5844547541527407,0,Coffee_000
-3.6503085656444236,-5.201994980975684,-2.9385937661514463,0,Coffee_000
-3.2056604492108227,-5.6668366701449155,-2.9033880994203973,0,Coffee_000
-3.4991581496603366,-5.857868871314923,-2.667585941621504,0,Coffee_000
-3.7191798524671777,-6.2667653497682885,-2.552945130591456,0,Coffee_000
-3.615215525497348,-5.284419873510383,-2.508093861226994,0,Coffee_000
-3.9352879990023495,-5.856090927631418,-2.8570325056333092,0,Coffee_000
-3.936376911843313,-5.672356008508647,-2.5215424328604095,0,Coffee_000
-4.12105008509862,-5.345598791964171,-2.652565816459249,0,Coffee_000
-3.9718966115004513,-5.7814280396673645,-2.7471138563650435,0,Coffee_000
-3.4495485905399716,-5.903481208209027,-2.7108248900164673,0,Coffee_000
-3.814087402502433,-5.516608627477929,-2.492232552922481,0,Coffee_000
-3.447542421274361,-5.773280189955967,-2.5704467627148464,0,Coffee_000
-3.2201518532704756,-5.759096094394858,-2.6031057884198887,0,Coffee_000
